note (didn't move for 12min)
0 0 11:24:02.600357 track 322 205 
1 1 11:24:02.791787 track 322 206 
2 2 11:24:02.988133 track 322 206 
3 3 11:24:03.150320 track 323 206 
4 4 11:24:03.405225 track 323 206 
5 5 11:24:03.566462 track 325 206 
6 6 11:24:03.727671 track 326 206 
7 7 11:24:03.887642 track 328 206 
8 8 11:24:04.029628 track 328 206 
9 9 11:24:04.212575 track 328 206 
10 10 11:24:04.395985 track 330 206 
11 11 11:24:04.579812 track 330 206 
12 12 11:24:04.718101 track 330 206 
13 13 11:24:04.855266 track 330 206 
14 14 11:24:04.992763 track 330 206 
15 15 11:24:05.130191 track 331 207 
16 16 11:24:05.268650 track 331 207 
17 17 11:24:05.429744 track 332 208 
18 18 11:24:05.589764 track 333 208 
19 19 11:24:05.749757 track 334 209 
20 20 11:24:05.916763 track 334 209 
21 21 11:24:06.079466 track 335 208 
22 22 11:24:06.242056 track 336 209 
23 23 11:24:06.426744 track 336 208 
24 24 11:24:06.567459 track 337 209 
25 25 11:24:06.707686 track 337 209 
26 26 11:24:06.847922 track 336 209 
27 27 11:24:06.988365 track 337 209 
28 28 11:24:07.129029 track 336 210 
29 29 11:24:07.292737 track 337 209 
30 30 11:24:07.456261 track 337 210 
31 31 11:24:07.620824 track 337 210 
32 32 11:24:07.784692 track 338 210 
33 33 11:24:07.948057 track 338 211 
34 34 11:24:08.134152 track 339 211 
35 35 11:24:08.296854 track 340 211 
36 36 11:24:08.482223 track 341 211 
37 37 11:24:08.620239 track 341 211 
38 38 11:24:08.758746 track 341 212 
39 39 11:24:08.898065 track 341 212 
40 40 11:24:09.036504 track 342 212 
41 41 11:24:09.197850 track 341 213 
42 42 11:24:09.387690 track 342 213 
43 43 11:24:09.560079 track 342 213 
44 44 11:24:09.732041 track 342 214 
45 45 11:24:09.951938 track 343 214 
46 46 11:24:10.114064 track 343 214 
47 47 11:24:10.252384 track 344 214 
48 48 11:24:10.392039 track 344 215 
49 49 11:24:10.552178 track 345 215 
50 50 11:24:10.713504 track 345 215 
51 51 11:24:10.874358 track 345 216 
52 52 11:24:11.012921 track 346 216 
53 53 11:24:11.150951 track 345 216 
54 54 11:24:11.288907 track 346 217 
55 55 11:24:11.426406 track 347 216 
56 56 11:24:11.564938 track 346 217 
57 57 11:24:11.725052 track 346 218 
58 58 11:24:11.863195 track 346 218 
59 59 11:24:12.002511 track 346 218 
60 60 11:24:12.140143 track 347 219 
61 61 11:24:12.278332 track 348 218 
62 62 11:24:12.416301 track 348 219 
63 63 11:24:12.553816 track 349 219 
64 64 11:24:12.691992 track 349 220 
65 65 11:24:12.830124 track 350 220 
66 66 11:24:12.967726 track 350 220 
67 67 11:24:13.105818 track 350 220 
68 68 11:24:13.244082 track 350 221 
69 69 11:24:13.381618 track 350 221 
70 70 11:24:13.519809 track 350 221 
71 71 11:24:13.657961 track 351 221 
72 72 11:24:13.796572 track 350 222 
73 73 11:24:13.946666 track 350 222 
74 74 11:24:14.105233 track 351 222 
75 75 11:24:14.287849 track 351 222 
76 76 11:24:14.442222 track 351 223 
77 77 11:24:14.588668 track 352 223 
78 78 11:24:14.722770 track 352 223 
79 79 11:24:14.897800 track 353 223 
80 80 11:24:15.067905 track 353 224 
81 81 11:24:15.218047 track 353 224 
82 82 11:24:15.394872 track 354 224 
83 83 11:24:15.549316 track 354 225 
84 84 11:24:15.698938 track 354 225 
85 85 11:24:15.880369 track 354 225 
86 86 11:24:16.065341 track 355 225 
87 87 11:24:16.252289 track 355 225 
88 88 11:24:16.425869 track 354 226 
89 89 11:24:16.593997 track 355 225 
90 90 11:24:16.765730 track 356 225 
91 91 11:24:16.959686 track 356 226 
92 92 11:24:17.107120 track 357 225 
93 93 11:24:17.276187 track 356 225 
94 94 11:24:17.417396 track 357 225 
95 95 11:24:17.577910 track 358 225 
96 96 11:24:17.719353 track 358 225 
97 97 11:24:17.857653 track 359 225 
98 98 11:24:17.997036 track 360 225 
99 99 11:24:18.135081 track 359 225 
100 100 11:24:18.273593 track 359 226 
101 101 11:24:18.413250 track 360 225 
102 102 11:24:18.551622 track 360 226 
103 103 11:24:18.689977 track 360 226 
104 104 11:24:18.841145 track 361 226 
105 105 11:24:19.015825 track 361 226 
106 106 11:24:19.207867 track 361 226 
107 107 11:24:19.355789 track 361 226 
108 108 11:24:19.503991 track 362 226 
109 109 11:24:19.650626 track 362 226 
110 110 11:24:19.819822 track 362 226 
111 111 11:24:19.990008 track 362 226 
112 112 11:24:20.208590 track 363 226 
113 113 11:24:20.355650 track 363 226 
114 114 11:24:20.526205 track 363 226 
115 115 11:24:20.720553 track 363 226 
116 116 11:24:20.870341 track 363 226 
117 117 11:24:21.042370 track 364 226 
118 118 11:24:21.214915 track 363 226 
119 119 11:24:21.410787 track 363 227 
120 120 11:24:21.561884 track 363 227 
121 121 11:24:21.757031 track 364 227 
122 122 11:24:21.906006 track 365 226 
123 123 11:24:22.076976 track 364 227 
124 124 11:24:22.228874 track 364 227 
125 125 11:24:22.402506 track 364 227 
126 126 11:24:22.575493 track 364 227 
127 127 11:24:22.747233 track 364 227 
128 128 11:24:22.896041 track 365 227 
129 129 11:24:23.066638 track 364 227 
130 130 11:24:23.262991 track 365 227 
131 131 11:24:23.484327 track 364 227 
132 132 11:24:23.658422 track 365 227 
133 133 11:24:23.807465 track 365 227 
134 134 11:24:23.979201 track 365 227 
135 135 11:24:24.120572 track 365 227 
136 136 11:24:24.261360 track 365 227 
137 137 11:24:24.401140 track 365 227 
138 138 11:24:24.540494 track 366 227 
139 139 11:24:24.680269 track 365 227 
140 140 11:24:24.820013 track 365 227 
141 141 11:24:24.960970 track 365 228 
142 142 11:24:25.100891 track 365 228 
143 143 11:24:25.240937 track 366 227 
144 144 11:24:25.380692 track 365 228 
145 145 11:24:25.522646 track 366 227 
146 146 11:24:25.662277 track 365 228 
147 147 11:24:25.801604 track 366 228 
148 148 11:24:25.941574 track 365 228 
149 149 11:24:26.081107 track 366 228 
150 150 11:24:26.220913 track 366 228 
151 151 11:24:26.383163 track 365 228 
152 152 11:24:26.546236 track 366 228 
153 153 11:24:26.709117 track 367 228 
154 154 11:24:26.872610 track 366 228 
155 155 11:24:27.035133 track 366 228 
156 156 11:24:27.198152 track 366 228 
157 157 11:24:27.361899 track 366 228 
158 158 11:24:27.571121 track 367 228 
159 159 11:24:27.757958 track 366 228 
160 160 11:24:27.921580 track 366 228 
161 161 11:24:28.083933 track 366 229 
162 162 11:24:28.247453 track 367 228 
163 163 11:24:28.411819 track 367 229 
164 164 11:24:28.600313 track 367 229 
165 165 11:24:28.764517 track 367 229 
166 166 11:24:28.956237 track 367 229 
167 167 11:24:29.116735 track 367 229 
168 168 11:24:29.255761 track 367 229 
169 169 11:24:29.416196 track 367 229 
170 170 11:24:29.554908 track 367 229 
171 171 11:24:29.715452 track 367 229 
172 172 11:24:29.876626 track 367 229 
173 173 11:24:30.015465 track 367 229 
174 174 11:24:30.153014 track 367 229 
175 175 11:24:30.291472 track 368 229 
176 176 11:24:30.428738 track 368 229 
177 177 11:24:30.566960 track 367 229 
178 178 11:24:30.704246 track 368 229 
179 179 11:24:30.852461 track 368 229 
180 180 11:24:31.005710 track 368 229 
181 181 11:24:31.143559 track 368 229 
182 182 11:24:31.280178 track 367 229 
183 183 11:24:31.418222 track 368 229 
184 184 11:24:31.556215 track 368 229 
185 185 11:24:31.693270 track 368 229 
186 186 11:24:31.857148 track 368 229 
187 187 11:24:32.028287 track 367 229 
188 188 11:24:32.178590 track 368 229 
189 189 11:24:32.326473 track 368 229 
190 190 11:24:32.564417 track 368 229 
191 191 11:24:32.703848 track 368 229 
192 192 11:24:32.842593 track 368 229 
193 193 11:24:32.981149 track 368 229 
194 194 11:24:33.118790 track 368 229 
195 195 11:24:33.282098 track 368 229 
196 196 11:24:33.443360 track 368 229 
197 197 11:24:33.605037 track 368 229 
198 198 11:24:33.746008 track 368 229 
199 199 11:24:33.907955 track 368 229 
200 200 11:24:34.053333 track 368 229 
201 201 11:24:34.215446 track 368 229 
202 202 11:24:34.378471 track 368 229 
203 203 11:24:34.519519 track 368 229 
204 204 11:24:34.681527 track 368 229 
205 205 11:24:34.823078 track 369 229 
206 206 11:24:34.963102 track 368 229 
207 207 11:24:35.102338 track 368 229 
208 208 11:24:35.242265 track 369 229 
209 209 11:24:35.427717 track 369 229 
210 210 11:24:35.590776 track 369 229 
211 211 11:24:35.732238 track 369 229 
212 212 11:24:35.872236 track 368 229 
213 213 11:24:36.034239 track 369 229 
214 214 11:24:36.197018 track 368 229 
215 215 11:24:36.338557 track 369 229 
216 216 11:24:36.479730 track 369 229 
217 217 11:24:36.619486 track 369 229 
218 218 11:24:36.759319 track 369 229 
219 219 11:24:36.899702 track 369 229 
220 220 11:24:37.085106 track 369 229 
221 221 11:24:37.225759 track 370 229 
222 222 11:24:37.372061 track 369 230 
223 223 11:24:37.520825 track 369 230 
224 224 11:24:37.684680 track 369 230 
225 225 11:24:37.869796 track 370 230 
226 226 11:24:38.029425 track 370 230 
227 227 11:24:38.189606 track 369 230 
228 228 11:24:38.328534 track 370 230 
229 229 11:24:38.488430 track 370 230 
230 230 11:24:38.650356 track 369 230 
231 231 11:24:38.811363 track 369 230 
232 232 11:24:38.973491 track 369 230 
233 233 11:24:39.226314 track 370 230 
234 234 11:24:39.532687 track 370 230 
235 235 11:24:39.839339 track 370 230 
236 236 11:24:40.148097 track 370 230 
237 237 11:24:40.495243 track 370 230 
238 238 11:24:40.842124 track 370 230 
239 239 11:24:41.150558 track 370 230 
240 240 11:24:41.460195 track 370 230 
241 241 11:24:41.806683 track 370 230 
242 242 11:24:42.078118 track 370 230 
243 243 11:24:42.376078 track 370 230 
244 244 11:24:42.516589 track 370 230 
245 245 11:24:42.678956 track 371 230 
246 246 11:24:42.820100 track 370 230 
247 247 11:24:42.960146 track 371 230 
248 248 11:24:43.122255 track 370 230 
249 249 11:24:43.286082 track 371 230 
250 250 11:24:43.426868 track 371 230 
251 251 11:24:43.566704 track 371 230 
252 252 11:24:43.729831 track 371 230 
253 253 11:24:43.916808 track 371 230 
254 254 11:24:44.057972 track 371 230 
255 255 11:24:44.197723 track 371 230 
256 256 11:24:44.337550 track 371 230 
257 257 11:24:44.477517 track 371 230 
258 258 11:24:44.617184 track 371 230 
259 259 11:24:44.779108 track 371 230 
260 260 11:24:44.942462 track 371 230 
261 261 11:24:45.091320 track 371 230 
262 262 11:24:45.232134 track 371 230 
