note (there was some time gap)
0 0 09:39:22.484463 track 250 208
1 1 09:39:22.672355 track 246 208
2 2 09:39:22.794079 track 242 208
3 3 09:39:22.916866 track 239 208
4 4 09:39:23.057406 track 236 209
5 5 09:39:23.193908 track 211 211
6 6 09:39:23.332906 track 199 211
7 0 09:39:23.897416 feed left
8 7 09:39:24.026221 track 191 211
9 8 09:39:24.169979 track 177 212
10 9 09:39:24.331225 track 165 212
11 10 09:39:24.492778 track 153 211
12 11 09:39:24.630628 track 95 216
13 12 09:39:24.768256 track 82 219
14 13 09:39:24.928850 track 72 221
15 14 09:39:25.090333 track 63 224
16 15 09:39:25.308613 track 53 225
17 16 09:39:25.491519 track 45 225
18 17 09:39:25.651760 track 42 225
19 18 09:39:25.790891 track 39 225
20 19 09:39:25.910924 track 37 225
21 20 09:39:26.048038 track 36 225
22 21 09:39:26.229379 track 37 225
23 22 09:39:26.399195 track 40 226
24 23 09:39:26.592535 track 39 227
25 24 09:39:26.764926 track 37 228
26 25 09:39:26.910174 track 36 230
27 26 09:39:27.053540 track 35 232
28 27 09:39:27.214627 track 34 233
29 28 09:39:27.352449 track 34 236
30 29 09:39:27.519611 track 35 240
31 30 09:39:27.662808 track 37 242
32 31 09:39:27.821677 track 39 245
33 32 09:39:27.981120 track 41 246
34 33 09:39:28.141227 track 43 247
35 34 09:39:28.279027 track 46 248
36 35 09:39:28.416367 track 48 248
37 36 09:39:28.553103 track 47 243
38 37 09:39:28.693854 track 50 247
39 38 09:39:28.836215 track 51 247
40 39 09:39:29.006480 track 53 247
41 40 09:39:29.150367 track 46 240
42 41 09:39:29.318976 track 52 245
43 42 09:39:29.510525 track 51 246
44 43 09:39:29.701141 track 53 247
45 44 09:39:29.862622 track 57 248
46 45 09:39:30.045811 track 60 249
47 46 09:39:30.183377 track 57 248
48 47 09:39:30.343274 track 73 255
49 48 09:39:30.480910 track 84 255
50 49 09:39:30.618288 track 92 256
51 50 09:39:30.778062 track 106 254
52 51 09:39:30.915817 track 116 253
53 52 09:39:31.053308 track 128 252
54 53 09:39:31.212688 track 136 253
55 54 09:39:31.350542 track 148 252
56 55 09:39:31.487546 track 158 253
57 56 09:39:31.624986 track 169 255
58 57 09:39:31.762557 track 181 255
59 58 09:39:31.921665 track 194 256
60 59 09:39:32.059796 track 205 254
61 60 09:39:32.196663 track 220 253
62 61 09:39:32.334102 track 234 252
63 62 09:39:32.471602 track 248 250
64 63 09:39:32.608508 track 264 249
65 64 09:39:32.745973 track 275 247
66 65 09:39:32.883622 track 290 243
67 66 09:39:33.020675 track 305 242
68 67 09:39:33.158057 track 319 239
69 68 09:39:33.295908 track 334 238
70 69 09:39:33.433236 track 354 238
71 70 09:39:33.570652 track 365 238
72 71 09:39:33.708345 track 380 238
73 72 09:39:33.845489 track 398 237
74 73 09:39:33.983148 track 411 237
75 0 09:39:34.542883 feed right
76 74 09:39:34.708659 track 424 237
77 75 09:39:34.868220 track 436 237
78 76 09:39:35.028483 track 448 238
79 77 09:39:35.166223 track 460 239
80 78 09:39:35.326172 track 512 240
81 79 09:39:35.508931 track 527 240
82 80 09:39:35.669480 track 536 238
83 81 09:39:35.806933 track 540 237
